# Height,   TempK,   Press,    RHum,    Wind,   WDir
  330.20,  292.69, 97698.2, 23.6789,  6.4089, 166.71
  403.15,  292.44, 96872.8, 23.7372,  7.6057, 165.66
  502.85,  292.65, 95752.1, 23.6185, 11.4277, 163.15
  630.25,  292.49, 94341.9, 23.6304, 14.3449, 160.10
  790.83,  291.69, 92591.1, 23.8978, 15.3738, 155.14
  995.10,  290.23, 90403.0, 24.6728, 13.5701, 149.01
 1245.37,  288.45, 87776.8, 25.7512, 10.6016, 140.85
 1518.86,  286.51, 84974.5, 27.1776,  7.4520, 127.31
 1797.79,  284.46, 82188.1, 29.1520,  5.2812,  99.93
 2084.13,  282.23, 79403.8, 31.6751,  4.8430,  64.29
 2378.21,  279.82, 76619.1, 34.1913,  5.1291,  40.29
 2812.18,  276.72, 72672.4, 30.2580,  3.4634,   8.29
 3381.86,  273.34, 67710.6, 19.4740,  3.2345, 272.26
 3951.37,  269.98, 63031.7, 13.6265,  5.4716, 258.33
 4520.84,  266.33, 58620.7, 10.1188,  7.4058, 268.28
 5090.02,  262.53, 54464.2,  7.8691,  9.6643, 273.09
 5658.87,  258.66, 50549.5,  6.7688, 12.7799, 276.92
 6227.84,  255.15, 46865.1,  4.2080, 17.0977, 279.59
 6797.58,  251.66, 43399.5, 10.5364, 22.5847, 281.13
 7368.10,  247.92, 40141.4, 28.7298, 28.4258, 282.17
 7938.87,  243.81, 37080.9, 52.9974, 33.0389, 283.55
 8509.07,  239.31, 34207.9, 70.3521, 36.5586, 284.94
 9077.98,  234.60, 31514.2, 71.9120, 39.1954, 286.10
 9646.09,  230.42, 28990.2, 61.9150, 41.5835, 286.84
10215.48,  227.24, 26627.4, 45.5408, 43.9452, 286.93
10788.92,  225.01, 24417.4, 27.8271, 45.8141, 286.41
11369.15,  223.63, 22352.0, 15.7924, 46.7670, 285.23
11958.09,  222.45, 20423.8,  6.9324, 46.6521, 283.61
12555.51,  220.43, 18625.4,  3.4385, 44.5468, 281.33
13160.32,  217.97, 16949.9,  2.7079, 41.3425, 278.56
13768.36,  215.34, 15399.8,  4.0992, 37.3564, 275.06
14372.48,  212.83, 13983.8,  5.1457, 33.2947, 270.80
14969.96,  210.68, 12698.2,  5.5068, 29.4953, 266.27
15561.72,  208.85, 11530.9,  5.8261, 25.7989, 261.37
16148.65,  207.33, 10471.1,  6.1034, 22.1779, 255.93
16731.94,  206.35,  9509.0,  6.0152, 18.4967, 251.61
17313.12,  205.92,  8635.4,  5.5461, 14.8479, 248.69
17893.47,  205.86,  7842.2,  4.9776, 11.3467, 245.54
18474.01,  206.16,  7122.1,  4.3097,  7.9715, 242.01
19055.70,  206.80,  6468.2,  3.7686,  5.3857, 231.37
19639.27,  207.62,  5874.6,  3.2885,  3.6607, 208.30
20225.22,  208.63,  5335.6,  2.8316,  3.1991, 172.43
20813.97,  209.77,  4846.2,  2.3829,  3.8453, 145.21
21405.71,  210.92,  4401.9,  1.9393,  4.7359, 130.79
22000.45,  212.10,  3998.6,  1.5375,  5.6781, 122.62
22598.25,  213.32,  3632.3,  1.1774,  6.5437, 117.87
23199.17,  214.56,  3299.8,  0.8592,  7.2799, 115.10
23803.26,  215.83,  2997.9,  0.5836,  7.8659, 113.60
24410.42,  217.05,  2723.8,  0.4462,  8.5990, 112.74
25020.50,  218.24,  2474.9,  0.3442,  9.2577, 112.25
25633.40,  219.41,  2248.9,  0.2772,  9.8401, 112.05
26249.01,  220.57,  2043.8,  0.2452, 10.3458, 112.10
26866.94,  221.50,  1857.5,  0.2117, 10.5664, 111.71
27486.77,  222.41,  1688.4,  0.1767, 10.7156, 111.31
28108.46,  223.36,  1534.9,  0.1477, 10.8631, 111.06
28732.03,  224.35,  1395.5,  0.1245, 11.0085, 110.94
29357.50,  225.38,  1268.9,  0.1072, 11.1518, 110.97
29984.87,  226.44,  1154.0,  0.0958, 11.2929, 111.13
30614.17,  227.54,  1049.7,  0.0901, 11.4321, 111.41
